,"3,3 Catalyst Substituent ",level_1,ee
21,S 19,ES,0.5434417475684933
5,S 11,ES,0.5754542425342465
25,S 20,ES,0.5960423142465754
1,S 1,ES,0.6614748684246575
20,S 19,VAR,0.665121835
11,S 14,ES,0.6846073037328768
9,S 13,ES,0.6879872479109589
4,S 11,VAR,0.6913358199999999
7,S 12,ES,0.7057842671232877
27,S 21,ES,0.707452901609589
24,S 20,VAR,0.7168815199999999
13,S 15,ES,0.7326224986301371
19,S 18,ES,0.7326692594863013
49,S 9,ES,0.7439584493493151
23,S 2,ES,0.7521487472945205
17,S 17,ES,0.7543010404452055
15,S 16,ES,0.7587578821917808
10,S 14,VAR,0.7597687999999999
43,S 6,ES,0.7603547672260275
0,S 1,VAR,0.7696753
3,S 10,ES,0.7733425023630136
8,S 13,VAR,0.7758292
29,S 22,ES,0.7778815210616439
39,S 4,ES,0.7847540328082191
6,S 12,VAR,0.78751976
33,S 24,ES,0.7910184980479452
26,S 21,VAR,0.7942249859999999
41,S 5,ES,0.7946251814383563
18,S 18,VAR,0.80133138
12,S 15,VAR,0.803495274
45,S 7,ES,0.8065439622260274
14,S 16,VAR,0.808703535
22,S 2,VAR,0.811233085
48,S 9,VAR,0.815597453
31,S 23,ES,0.8234736420547946
16,S 17,VAR,0.82354792
37,S 3,ES,0.8268165363698631
32,S 24,VAR,0.832739517
28,S 22,VAR,0.834422846
38,S 4,VAR,0.83494203
42,S 6,VAR,0.8413324349999999
35,S 25,ES,0.8431609006849314
2,S 10,VAR,0.845533984
40,S 5,VAR,0.846374976
44,S 7,VAR,0.85069497
47,S 8,ES,0.8535126664726027
30,S 23,VAR,0.8584537539999999
36,S 3,VAR,0.8618819139999999
34,S 25,VAR,0.868974335
46,S 8,VAR,0.882096855
